"gene","trans","speciesMatch","chr","five_prime_UTR","three_prime_UTR","evalue","bitScore","rawValue","percentMatch","other","proteinMatch"
"Zm00001d011700","Zm00001d011700_T007","brachypodium","8","159172399","159180670",0,1923,2553,80.689,2060,"KQK09427"
"Zm00001d011700","Zm00001d011700_T007","brachypodium","8","159172399","159180670",0,1923,2553,80.689,2060,"PNT72693"
"Zm00001d011700","Zm00001d011700_T007","brachypodium","8","159172399","159180670",0,1921,2546,80.715,2055,"KQK09429"
"Zm00001d011700","Zm00001d011700_T007","rice","8","159172399","159180670",0,1820,2130,82.3,1753,"Os01t0709500-03"
"Zm00001d011700","Zm00001d011700_T007","rice","8","159172399","159180670",0,1210,1392,82.543,1149,"Os01t0709500-04"
"Zm00001d011700","Zm00001d011700_T001","sorghum","8","159172370","159180776",0,3751,2514,93.715,2356,"KXG33225"
"Zm00001d011700","Zm00001d011700_T001","sorghum","8","159172370","159180776",0,3751,2514,93.715,2356,"KXG33228"
"Zm00001d011700","Zm00001d011700_T001","sorghum","8","159172370","159180776",0,3751,2514,93.715,2356,"KXG33227"
"Zm00001d011700","Zm00001d011700_T001","sorghum","8","159172370","159180776",0,3751,2514,93.715,2356,"KXG33226"
"Zm00001d011700","Zm00001d011700_T001","sorghum","8","159172370","159180776",0,3712,2514,93.477,2350,"OQU87406"
"Zm00001d011700","Zm00001d011700_T001","sorghum","8","159172370","159180776",0,3712,2514,93.477,2350,"OQU87405"
"Zm00001d011700","Zm00001d011700_T001","sorghum","8","159172370","159180776",0,3712,2514,93.477,2350,"OQU87404"
"Zm00001d011700","Zm00001d011700_T001","setaria","8","159172370","159180776",0,2948,2511,88.132,2213,"KQL06660"
"Zm00001d011700","Zm00001d011700_T001","brachypodium","8","159172370","159180776",0,1923,2553,80.689,2060,"KQK09428"
"Zm00001d011700","Zm00001d011700_T001","brachypodium","8","159172370","159180776",0,1923,2553,80.689,2060,"KQK09427"
"Zm00001d011700","Zm00001d011700_T001","brachypodium","8","159172370","159180776",0,1923,2553,80.689,2060,"PNT72693"
"Zm00001d011700","Zm00001d011700_T001","brachypodium","8","159172370","159180776",0,1921,2546,80.715,2055,"KQK09429"
